band_type,pellet_type,trial_num,mass_gn,calc_mass_g,velocity_mps,draw_length_m,slack_length_m,draw_weight_kg,calc_draw_force_N,note
band_A,5 mm steel,10,7.9,0.512,48.4,0.800,0.268,1.08,10.591182,
band_A,5 mm steel,11,7.9,0.512,48.3,0.800,0.268,1.08,10.591182,
band_A,5 mm steel,12,8.0,0.518,48.4,0.800,0.268,1.08,10.591182,
band_A,5 mm steel,13,7.9,0.512,48.5,0.800,0.268,1.08,10.591182,
band_A,5 mm steel,14,8.0,0.518,48.3,0.800,0.268,1.08,10.591182,
band_A,5 mm steel,15,8.0,0.518,48.4,0.800,0.268,1.08,10.591182,
band_A,5 mm steel,16,7.9,0.512,48.3,0.800,0.268,1.08,10.591182,
band_A,5 mm steel,17,7.9,0.512,48.4,0.800,0.268,1.08,10.591182,
band_A,5 mm steel,18,7.9,0.512,48.4,0.800,0.268,1.08,10.591182,
band_A,5 mm steel,19,7.9,0.512,48.4,0.800,0.268,1.08,10.591182,
band_A,5 mm steel,20,7.9,0.512,48.4,0.800,0.268,1.08,10.591182,
band_A,clay,1,18.4,1.192,45.5,0.800,0.268,1.08,10.591182,
band_A,clay,2,17.6,1.140,45.8,0.800,0.268,1.08,10.591182,
band_A,clay,3,17.0,1.102,45.9,0.800,0.268,1.08,10.591182,
band_A,clay,4,17.0,1.102,45.9,0.800,0.268,1.08,10.591182,
band_A,clay,5,17.1,1.108,45.9,0.800,0.268,1.08,10.591182,
band_A,clay,6,17.7,1.147,45.6,0.800,0.268,1.08,10.591182,
band_A,clay,7,17.6,1.140,45.6,0.800,0.268,1.08,10.591182,
band_A,clay,8,17.1,1.108,45.8,0.800,0.268,1.08,10.591182,
band_A,clay,9,15.7,1.017,46.2,0.800,0.268,1.08,10.591182,
band_A,clay,10,15.4,0.998,46.3,0.800,0.268,1.08,10.591182,
band_A,clay,11,17.6,1.140,45.5,0.800,0.268,1.08,10.591182,
band_A,clay,12,15.7,1.017,46.3,0.800,0.268,1.08,10.591182,
band_A,clay,13,16.0,1.037,46.0,0.800,0.268,1.08,10.591182,
band_A,clay,14,15.7,1.017,46.3,0.800,0.268,1.08,10.591182,
band_A,clay,15,15.3,0.991,46.3,0.800,0.268,1.08,10.591182,
